sale_id,date_key,customer_key,product_key,store_key,employee_key,quantity,sales
1,1489,1878,21,941,503,3,1954.02
2,1818,427,1345,616,494,4,3545.45
3,899,86,727,549,796,1,521.84
4,1777,209,1612,373,918,2,4414.37
5,1095,336,1741,573,125,8,4512.96
6,1154,1131,1145,788,1378,7,1297.67
7,1608,1930,666,1015,353,10,3506.13
8,113,920,1561,435,905,10,420.52
9,1436,736,1498,792,370,5,3979.51
10,960,1912,329,477,806,10,2184.58
11,1416,1374,611,1016,721,3,1389.45
12,1511,1468,1496,59,721,9,3158.6
13,696,879,352,749,293,1,3383.42
14,761,277,527,24,1472,7,468.32
15,482,1860,1550,596,1404,9,1204.91
16,1188,27,955,16,699,9,4743.5
17,1040,115,496,776,45,3,783.98
18,167,572,251,1059,1121,4,458.92
19,359,792,292,1087,985,2,3942.91
20,1618,485,918,630,683,9,1734.19
21,1692,565,1265,462,95,7,395.46
22,1680,1278,654,54,417,2,4742.62
23,495,206,1706,267,806,9,4871.04
24,283,374,147,707,776,2,3181.44
25,1067,1064,732,873,266,3,4792.55
26,1792,733,795,319,1025,9,3134.4
27,889,1291,110,615,1085,6,2163.8
28,1481,1188,954,960,315,6,364.06
29,1801,692,1513,174,716,3,890.34
30,842,1374,1366,328,241,8,4079.59
31,636,1182,1298,728,1389,2,3155.14
32,1558,1446,1365,504,134,1,1615.77
33,1804,631,828,1107,839,2,2834.95
34,1711,1457,143,69,1448,6,778.11
35,841,410,631,123,366,6,3653.02
36,1357,989,435,459,248,8,91.16
37,70,1386,304,312,542,1,1990.7
38,839,1928,585,676,343,2,3458.11
39,629,578,1723,822,950,10,331.26
40,464,651,1578,109,1445,10,1569.04
41,468,431,1173,869,77,10,4524.25
42,1496,333,1344,1125,1237,8,4191.99
43,15,68,26,717,838,2,4926.41
44,770,418,1769,177,1081,4,618.48
45,236,1435,1649,682,230,4,1813.01
46,507,1703,940,687,194,7,4481.42
47,1689,1677,509,1148,361,5,4926.97
48,1657,1214,818,656,1060,9,1315.99
49,1644,1660,1380,578,1009,3,1100.88
50,642,92,1172,24,440,7,3216.35
51,57,1770,329,642,636,3,1213.16
52,1618,1571,928,315,1077,8,1140.88
53,1232,1363,623,548,1215,1,479.65
54,1190,1021,757,402,166,4,3548.82
55,570,1478,544,664,1113,9,2385.71
56,1064,599,1621,876,536,4,4540.52
57,511,1982,968,1169,1177,7,626.78
58,1789,452,978,1067,789,2,123.98
59,231,1118,166,928,1162,8,2792.43
60,235,810,385,1030,709,2,1698.8
61,1411,1325,571,1022,775,1,783.13
62,334,446,617,985,1379,10,2629.31
63,159,1059,279,369,37,9,654.88
64,936,608,59,761,120,5,4707.72
65,899,771,16,859,689,4,4982.08
66,1059,89,800,242,1464,9,3869.11
67,1461,1592,770,417,890,6,795.06
68,453,180,1733,437,579,5,4711.52
69,997,1586,1200,275,666,2,2169.31
70,778,1641,498,291,704,2,4096.54
71,392,1128,823,1000,607,5,3276.07
72,40,1480,1166,805,708,5,890.96
73,1548,524,1503,127,61,1,2374.0
74,1107,122,1061,363,1123,10,282.78
75,1139,235,1069,246,1372,9,2115.27
76,1009,467,389,118,80,9,2411.66
77,802,546,1145,245,753,5,1636.09
78,1734,697,736,489,1233,7,2767.63
79,1064,1594,956,291,1463,5,1756.84
80,872,1038,19,103,503,1,538.75
81,1732,1727,246,332,1108,10,1357.96
82,1081,899,900,440,84,7,3505.7
83,611,111,1453,917,1456,9,4559.1
84,942,110,1702,697,951,5,2595.55
85,13,1664,1293,1062,332,5,4161.16
86,1239,530,1367,714,123,6,2146.55
87,1654,419,68,376,251,6,357.43
88,413,120,275,1065,147,6,1277.43
89,62,624,1418,533,931,2,120.42
90,721,1286,1754,381,1221,6,4971.93
91,1533,355,1665,183,1246,6,2401.38
92,650,1943,462,330,768,3,1288.23
93,1560,907,969,433,169,5,2279.49
94,1788,479,383,903,660,3,3488.76
95,110,891,1615,171,1052,2,3181.77
96,1056,1940,379,31,422,5,936.88
97,1118,1871,878,979,796,8,2101.09
98,576,439,1593,484,1231,6,1786.15
99,1466,1874,220,96,70,2,4618.68
100,1544,1379,985,546,772,1,4233.68
101,928,1783,148,614,229,3,1507.25
102,623,762,1643,1093,151,5,4290.94
103,1536,945,572,585,741,9,4723.94
104,1283,202,1374,581,720,7,1590.67
105,43,1767,158,166,1371,10,4141.17
106,677,1362,1493,428,533,4,2892.15
107,487,1754,1232,135,1365,4,363.74
108,1799,58,30,936,649,4,3008.55
109,1450,980,84,787,773,10,4614.31
110,886,804,79,129,9,3,1286.58
111,596,1523,849,398,1089,3,4338.85
112,1623,297,506,204,23,1,3091.88
113,477,1470,1065,421,1125,1,75.6
114,1156,1326,1473,1174,1351,7,1023.57
115,669,511,1062,719,175,7,3769.33
116,434,48,1591,146,1317,6,2166.17
117,1417,69,1565,640,280,8,2001.6
118,1640,1880,1133,1003,1367,10,730.1
119,940,1319,822,471,1124,8,2455.05
120,235,1432,1063,10,136,4,1504.09
121,1495,1155,958,53,422,6,2637.26
122,1603,1856,342,602,691,1,1119.29
123,764,1213,143,311,1184,1,4382.91
124,962,960,174,242,1259,4,4738.16
125,720,1364,1368,253,577,4,1270.53
126,775,882,34,851,790,2,4975.73
127,1758,15,49,1148,566,7,2574.96
128,1681,327,1634,799,319,2,2055.49
129,1399,1250,1493,378,1127,10,616.28
130,707,1257,944,809,37,10,4264.06
131,213,1454,334,720,87,7,266.96
132,268,19,767,230,1415,8,2572.24
133,1256,952,531,1016,345,3,3017.87
134,747,949,247,516,1142,2,598.96
135,299,1148,457,29,402,1,58.9
136,1709,1344,96,710,1085,3,3099.23
137,1680,1321,1599,180,933,6,3552.78
138,780,84,323,1027,1115,1,3600.17
139,1281,201,1139,323,1294,10,4703.6
140,1269,1121,53,163,270,2,4957.03
141,1057,830,850,26,201,7,3036.11
142,328,327,1741,29,521,6,493.76
143,210,1247,173,993,1416,7,3199.42
144,547,1800,718,525,975,2,2189.51
145,209,1154,1209,255,800,10,3134.98
146,385,1035,1386,519,1207,4,1233.0
147,180,1596,1063,1111,1202,3,4746.21
148,1333,1675,1443,1126,376,2,1575.19
149,590,961,970,887,1172,9,158.22
150,481,1367,1134,28,26,5,1496.61
151,1159,855,1133,407,548,9,1818.92
152,456,1626,398,972,181,1,4203.96
153,425,1593,1169,72,1193,3,509.62
154,1746,1747,152,901,472,4,3119.58
155,219,1513,1497,28,479,8,3702.75
156,1708,42,837,1051,1380,9,3800.19
157,453,1131,1486,1092,436,7,3399.47
158,205,320,101,40,12,10,2469.03
159,101,1329,107,229,1482,8,2968.1
160,1462,1119,634,105,1452,1,3823.35
161,1459,1358,1139,227,1447,4,1353.22
162,1525,363,355,909,772,9,874.7
163,21,1723,743,260,294,9,3132.95
164,1794,988,6,1013,1475,7,4715.83
165,1080,1155,1636,815,825,9,2461.77
166,667,230,864,626,1405,4,913.53
167,193,268,57,181,609,3,1923.1
168,398,1994,1609,649,310,9,1835.24
169,1512,1969,252,667,1296,5,1433.07
170,737,1130,1194,936,473,7,961.63
171,1112,1511,1341,447,388,5,3715.78
172,136,642,1010,529,1321,8,405.94
173,30,1747,1695,1020,388,8,2451.26
174,610,1855,313,1066,789,3,3174.89
175,1748,849,241,8,1488,9,4239.32
176,1431,1236,1543,429,1187,8,2134.06
177,1527,1665,1671,874,1421,3,1089.4
178,925,1295,1377,736,936,8,1910.31
179,1153,774,950,254,781,4,1810.43
180,940,668,1796,548,76,4,3163.33
181,521,439,1720,481,260,4,2604.27
182,504,92,1728,510,825,10,1049.16
183,225,1399,894,620,403,3,1610.89
184,55,1754,415,1115,483,3,4182.32
185,637,121,1529,459,1240,8,595.27
186,561,1125,1237,1030,55,4,1758.83
187,343,1438,795,326,1435,6,814.02
188,378,1274,1502,113,812,1,2682.21
189,1258,882,1731,841,840,7,1045.6
190,1361,449,1602,756,1062,1,2018.28
191,392,902,556,1085,1480,3,3160.69
192,245,184,586,908,1256,2,271.53
193,487,1217,396,614,1001,6,1754.68
194,1652,1255,1782,951,736,7,4054.11
195,119,1358,240,247,329,3,2006.25
196,1379,1405,334,1018,537,10,3725.64
197,1594,1896,1478,234,829,4,4876.94
198,245,1512,683,831,692,7,2789.56
199,80,1440,313,192,1041,9,3104.44
200,717,1760,774,929,909,2,1356.65
201,1265,41,987,628,330,6,3253.04
202,856,886,204,858,1489,1,1363.63
203,113,1897,247,694,301,4,4114.05
204,590,158,1149,1155,1010,10,1364.6
205,861,1759,391,181,377,2,4044.01
206,1824,1508,385,375,1492,7,73.43
207,653,1826,1681,133,1436,9,2234.95
208,675,84,1690,331,1043,6,1084.17
209,1753,970,642,1046,1095,5,91.77
210,1527,1777,1791,998,654,5,418.45
211,1103,1326,879,989,1391,8,261.47
212,1014,427,20,519,618,10,725.98
213,1656,578,868,1085,1449,6,3664.7
214,260,248,84,380,420,3,2023.21
215,1224,1393,246,334,753,2,4446.32
216,1635,1519,399,590,1403,1,4743.97
217,310,340,372,340,1384,4,4846.01
218,553,646,1743,344,422,7,4912.39
219,301,425,1545,1121,441,9,2513.24
220,36,1752,926,518,430,10,4365.73
221,1347,1655,1000,897,1166,4,1085.79
222,781,1508,550,644,364,5,1133.49
223,1776,1613,1050,691,964,10,1791.87
224,1559,1195,1410,277,130,9,2369.86
225,36,1351,532,1043,842,8,1697.02
226,152,519,1273,749,353,3,747.01
227,141,1480,159,46,405,8,1396.76
228,1030,361,303,1179,1116,7,2333.51
229,693,1170,1759,321,72,7,658.27
230,557,1545,1588,997,696,10,4390.71
231,1716,1227,1283,968,1020,7,1828.53
232,1588,1786,1300,844,543,5,1261.18
233,1520,1142,1672,22,282,6,2677.99
234,827,1639,311,842,495,3,2001.33
235,1406,2000,1540,167,344,8,1205.09
236,1244,1919,612,901,126,8,4681.71
237,1180,87,1705,840,715,1,4584.27
238,488,431,1761,6,343,5,800.58
239,1003,5,1429,1015,595,1,2179.98
240,475,1328,1152,883,1254,6,1697.92
241,965,1899,142,282,936,4,596.19
242,1506,1947,1371,1189,1320,7,3224.37
243,989,1151,339,1168,520,9,1185.65
244,1603,28,683,813,606,7,1292.97
245,63,994,1637,88,717,1,1903.07
246,941,1501,795,852,1128,1,4745.65
247,68,903,66,124,404,10,1013.73
248,1306,1804,150,717,581,10,1181.95
249,1383,119,1695,738,52,7,3029.04
250,578,374,1028,890,1278,5,2924.71
251,1779,732,1778,828,1322,3,2811.16
252,1788,1916,1669,1091,638,9,4388.37
253,1697,279,132,1075,1346,3,4074.27
254,973,1966,195,1058,785,7,383.09
255,556,31,1055,913,1286,5,2117.8
256,1063,1762,1572,986,229,2,1178.08
257,94,1727,1794,625,315,1,4701.92
258,753,1479,834,565,682,4,3417.91
259,607,357,1495,578,363,3,2876.71
260,1357,785,802,619,1207,9,1539.26
261,465,336,96,143,188,2,3065.22
262,1456,57,1550,166,286,3,3544.76
263,872,1323,309,716,459,5,2387.52
264,827,15,1050,1080,309,7,2879.14
265,989,1513,1002,562,977,6,2504.75
266,717,126,527,1013,984,4,2647.01
267,1274,1659,1614,538,681,7,4739.0
268,1434,1349,1402,1005,931,7,4794.52
269,920,968,190,657,168,6,1739.97
270,1163,1796,294,466,84,8,2381.06
271,56,1375,1423,990,302,7,2596.2
272,533,833,654,1138,220,7,675.35
273,215,1332,1225,785,1222,1,2571.81
274,674,424,458,391,714,9,3173.5
275,1370,325,1383,452,46,6,256.41
276,1697,743,870,660,1286,10,3472.13
277,1233,103,379,1035,132,5,813.54
278,188,752,439,219,7,1,2395.06
279,832,1202,518,173,884,7,1403.79
280,215,1256,998,1198,726,9,1598.68
281,280,147,768,285,1496,2,3865.64
282,1571,271,1019,136,807,2,4570.11
283,71,1921,1459,5,1406,1,3836.72
284,1573,1626,405,1091,1029,4,2859.79
285,1780,1242,497,1180,1036,5,4162.97
286,847,394,1416,836,1399,3,4973.74
287,1368,1315,479,533,492,5,4106.02
288,337,1993,443,496,891,2,4944.91
289,1313,1936,533,189,625,3,1409.56
290,442,308,1684,735,1357,3,3323.0
291,556,669,1613,98,302,10,4185.74
292,354,594,527,849,1178,5,614.84
293,430,837,994,1103,39,10,1051.47
294,545,1388,1007,284,406,4,2094.78
295,1413,1529,115,716,653,6,923.29
296,753,1380,544,892,1444,3,3502.37
297,83,955,1299,516,1396,9,819.87
298,1005,948,1796,1171,910,9,4791.06
299,51,870,1086,508,557,3,1584.15
300,701,208,1244,1095,146,2,1866.43
301,1465,121,1256,998,827,9,1519.83
302,652,794,1294,525,403,6,2689.54
303,230,187,1010,89,1145,7,3453.61
304,621,1131,723,90,584,8,4856.5
305,1805,1385,767,477,853,7,368.37
306,378,929,69,93,1057,6,1110.9
307,836,1249,326,333,705,2,1732.41
308,300,1384,481,24,1274,9,3586.23
309,265,1080,735,782,618,6,760.58
